Section,Element ID,Quantity,Description,LEGO colour
Two-storey house with porch,4211385,2,Brick 2 x 4,Medium Stone Grey
Two-storey house with porch,4211425,1,Plate 1 x 8,Medium Stone Grey
Two-storey house with porch,4211406,1,Plate 2 x 8,Medium Stone Grey
Two-storey house with porch,4211415,3,Tile 1 x 1,Medium Stone Grey
Two-storey house with porch,4211414,7,Tile 1 x 2,Medium Stone Grey
Two-storey house with porch,4558169,2,Tile 1 x 3,Medium Stone Grey
Two-storey house with porch,6001824,4,Brick 1 x 1,Sand Yellow
Two-storey house with porch,4646577,3,Brick 1 x 2 with Masonry Profile,Sand Yellow
Two-storey house with porch,6524697,9,Glass for Window 1 x 2 x 2,Transparent
Two-storey house with porch,6581359,5,Glass for Window 1 x 2 x 3,Transparent
Two-storey house with porch,300501,38,Brick 1 x 1,White
Two-storey house with porch,6055541,3,Brick 1 x 1 x 3,White
Two-storey house with porch,287701,1,Brick 1 x 2 with Grille,White
Two-storey house with porch,6047813,1,Fence Spindled 1 x 4 x 2,White
Two-storey house with porch,302301,3,Plate 1 x 2,White
Two-storey house with porch,346001,1,Plate 1 x 8,White
Two-storey house with porch,383201,1,Plate 2 x 10,White
Two-storey house with porch,244501,1,Plate 2 x 12,White
Two-storey house with porch,302001,2,Plate 2 x 4,White
Two-storey house with porch,303501,1,Plate 4 x 8,White
Two-storey house with porch,4528341,3,Plate 6 x 10,White
Two-storey house with porch,4144012,1,Plate 6 x 6,White
Two-storey house with porch,428601,11,Slope 33 3 x 1,White
Two-storey house with porch,4121932,6,Slope 45 2 x 1,White
Two-storey house with porch,243101,1,Tile 1 x 4,White
Two-storey house with porch,6550187,9,Window 1 x 2 x 2 Frame,White
Two-storey house with porch,6468341,5,Window 1 x 2 x 3 Frame,White
Grey SUV,300526,4,Brick 1 x 1,Black
Grey SUV,4558954,4,Brick 1 x 1 with Stud on 1 Side,Black
Grey SUV,301026,4,Brick 1 x 4,Black
Grey SUV,6284070,4,Tile Round 1 x 1,Black
Grey SUV,307021,2,Tile 1 x 1,Bright Red
Grey SUV,4211389,4,Brick 1 x 1,Medium Stone Grey
Grey SUV,4211394,2,Brick 1 x 4,Medium Stone Grey
Grey SUV,4211385,2,Brick 2 x 4,Medium Stone Grey
Grey SUV,4211445,1,Plate 1 x 4,Medium Stone Grey
Grey SUV,4243797,1,Plate 4 x 4,Medium Stone Grey
Grey SUV,4211407,1,Plate 4 x 8,Medium Stone Grey
Grey SUV,4211414,1,Tile 1 x 2,Medium Stone Grey
Grey SUV,4211413,2,Tile 2 x 2,Medium Stone Grey
