Element ID,Quantity,Description,LEGO colour,Design ID,BrickLink part,BrickLink colour,Alternate element IDs,Last year in a set,Availability (from data),Pick a Brick unit price seen (USD)
4211425,1,Plate 1 x 8,Medium Stone Grey,3460,3460,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.18
4211406,1,Plate 2 x 8,Medium Stone Grey,3034,3034,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.25
4243797,1,Plate 4 x 4,Medium Stone Grey,3031,3031,Light Bluish Gray,4211403,2026,"likely (current, listed 2022)",0.21
4211407,1,Plate 4 x 8,Medium Stone Grey,3035,3035,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.46
4211474,2,Plate 6 x 6,Medium Stone Grey,3958,3958,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.50
4211408,2,Plate 6 x 8,Medium Stone Grey,3036,3036,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.67
4211415,3,Tile 1 x 1,Medium Stone Grey,3070,3070,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.06
4211414,11,Tile 1 x 2,Medium Stone Grey,3069,3069,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.07
4558169,3,Tile 1 x 3,Medium Stone Grey,63864,63864,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.11
4211549,3,Tile 1 x 6,Medium Stone Grey,6636,6636,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.14
4211481,11,Tile 1 x 8,Medium Stone Grey,4162,4162,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.14
4211413,3,Tile 2 x 2,Medium Stone Grey,3068,3068,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.08
4211183,2,Brick Round 1 x 1,Reddish Brown,3062,3062,Reddish Brown,,2026,"likely (current, listed 2022)",0.06
4211152,1,Plate 1 x 3,Reddish Brown,3623,3623,Reddish Brown,,2026,listed on Pick a Brick (2025),0.07
4221590,1,Plate 1 x 6,Reddish Brown,3666,3666,Reddish Brown,,2026,"likely (current, listed 2022)",0.14
4216945,1,Plate 1 x 8,Reddish Brown,3460,3460,Reddish Brown,,2026,"likely (current, listed 2022)",0.18
4211247,1,Plate 2 x 6,Reddish Brown,3795,3795,Reddish Brown,,2026,"likely (current, listed 2022)",0.19
4211211,1,Plate 2 x 8,Reddish Brown,3034,3034,Reddish Brown,,2026,"likely (current, listed 2022)",0.25
6001824,5,Brick 1 x 1,Sand Yellow,3005,3005,Dark Tan,4497070,2026,listed on Pick a Brick (2025),0.07
4646577,3,Brick 1 x 2 with Masonry Profile,Sand Yellow,98283,98283,Dark Tan,,2026,"likely (current, listed 2022)",0.14
6524697,9,Glass for Window 1 x 2 x 2,Transparent,7179,60601,Trans-Clear,4521209 4537946 4542078 4552035 6024020 6254552 6514136,2026,likely (in current sets),
6581359,5,Glass for Window 1 x 2 x 3,Transparent,35287,60602,Trans-Clear,4536998 6252258,2026,likely (in current sets),
6514236,1,Brick Round 1 x 1,Transparent Yellow,35390,3062,Trans-Yellow,3006844 306244 6238674,2026,likely (in current sets),
6274740,2,Tile Round 1 x 1,Transparent Yellow,35380,98138,Trans-Yellow,4650500 6514193,2026,"likely (current, listed 2022)",0.04
300501,54,Brick 1 x 1,White,3005,3005,White,300551 6548258 6552096,2026,listed on Pick a Brick (2025),0.07
6055541,3,Brick 1 x 1 x 3,White,14716,14716,White,6548277,2026,"likely (current, listed 2022)",0.14
287701,2,Brick 1 x 2 with Grille,White,2877,2877,White,6552093,2026,"likely (current, listed 2022)",0.11
300801,2,Brick 1 x 8,White,3008,3008,White,6550134,2026,"likely (current, listed 2022)",0.29
6047813,1,Fence Spindled 1 x 4 x 2,White,15332,15332,White,6615529,2026,"likely (current, listed 2022)",0.36
302301,3,Plate 1 x 2,White,3023,3023,White,6548261 6552100,2026,listed on Pick a Brick (2025),0.07
346001,3,Plate 1 x 8,White,3460,3460,White,6550141,2026,"likely (current, listed 2022)",0.18
383201,1,Plate 2 x 10,White,3832,3832,White,6552109,2026,"likely (current, listed 2022)",0.25
244501,2,Plate 2 x 12,White,2445,2445,White,6552091,2026,"likely (current, listed 2022)",0.35
302001,2,Plate 2 x 4,White,3020,3020,White,6552098,2026,listed on Pick a Brick (2025),0.14
303501,1,Plate 4 x 8,White,3035,3035,White,6609533,2026,"likely (current, listed 2022)",0.46
4528341,3,Plate 6 x 10,White,3033,3033,White,303301,2026,"likely (current, listed 2022)",0.86
4144012,5,Plate 6 x 6,White,3958,3958,White,395801 6552116,2026,"likely (current, listed 2022)",0.50
428601,23,Slope 33 3 x 1,White,4286,4286,White,,2026,"likely (current, listed 2022)",0.11
4121932,6,Slope 45 2 x 1,White,3040,3040,White,304001 6552115,2026,"likely (current, listed 2022)",0.11
243101,1,Tile 1 x 4,White,2431,2431,White,6548255,2026,"likely (current, listed 2022)",0.13
6550187,9,Window 1 x 2 x 2 Frame,White,79128,60592,White,4521210 6382045,2026,likely (in current sets),
6468341,5,Window 1 x 2 x 3 Frame,White,3662,60593,White,4536521,2026,likely (in current sets),
