Part,Color,Quantity
3005,19,1
3004,19,1
3005,25,1
3004,25,4
3003,25,2
32607,25,4
3024,25,2
3023,25,4
3022,25,1
3021,25,2
6141,25,1
54200,25,8
25269,25,7
3062b,4,9
3024,72,3
3035,72,1
3036,72,1
3070b,72,8
3069b,72,3
63864,72,2
2431,72,1
4162,72,1
3005,84,4
3004,84,3
98138,84,1
3005,70,4
3004,70,5
30137,70,3
3003,70,1
3024,70,1
6141,70,1
4070,47,3
3065,47,3
3062b,47,3
60581,47,8
3023,47,12
3070b,47,12
98138,47,4
6141,15,2
