Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
26,4211052,2,FLAT TILE 1X2,Dark Stone Grey,3069,Tile 1 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.07,2022,,,,3069 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211052
27,6525789,4,(not listed),Earth Green,17715,Bar 3L,Not on the Pick a Brick listings checked; in LEGO sets in 2026,,,,,,87994 / Dark Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6525789
28,4521915,4,BRICK 1X1,Earth Green,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,,6618073,4271434 4496290,3005 / Dark Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4521915
29,4245570,2,BRICK 1X2,Earth Green,3004,Brick 1 x 2,On Pick a Brick (late-2025 listing),0.1,late 2025,,6618072,,3004 / Dark Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4245570
30,4245571,14,BRICK 1X4,Earth Green,3010,Brick 1 x 4,On Pick a Brick (late-2025 listing),0.16,late 2025,yes,6618074,,3010 / Dark Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4245571
31,6411591,4,(not listed),Earth Green,59900,Cone 1 x 1,Not on the Pick a Brick listings checked; in LEGO sets in 2026,,,,,,4589b / Dark Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6411591
32,4211399,14,PLATE 1X1,Medium Stone Grey,3024,Plate 1 x 1,On Pick a Brick (late-2025 listing),0.05,late 2025,yes,,,3024 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211399
33,4211402,2,PLATE 4X10,Medium Stone Grey,3030,Plate 4 x 10,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.54,2022,,,,3030 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211402
34,4211405,6,PLATE 6x10,Medium Stone Grey,3033,Plate 6 x 10,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.86,2022,,,,3033 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211405
35,4211415,2,FLAT TILE 1X1,Medium Stone Grey,3070,Tile 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,3070 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211415
36,4211414,22,FLAT TILE 1X2,Medium Stone Grey,3069,Tile 1 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.07,2022,yes,,,3069 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211414
37,4211549,18,FLAT TILE 1X6,Medium Stone Grey,6636,Tile 1 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,yes,,,6636 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211549
38,4211481,30,FLAT TILE 1X8,Medium Stone Grey,4162,Tile 1 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,yes,,,4162 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211481
39,4539090,6,FLAT TILE 1X2,New Dark Red,3069,Tile 1 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.07,2022,,,4165783 4529548,3069 / Dark Red,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4539090
40,4539060,8,FLAT TILE 1X4,New Dark Red,2431,Tile 1 x 4,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.13,2022,,,4164220,2431 / Dark Red,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4539060
41,4211183,36,ROUND BRICK 1X1,Reddish Brown,3062,Brick Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,yes,,,3062 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211183
42,6223655,4,ROUND BRICK 1X1,Transparent,35390,Brick Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.07,2022,,6514232,3006840 306210 306240 6012880,3062 / Trans-Clear,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6223655
43,365901,1,BRICK W. BOW 1X4,White,3659,Arch 1 x 4,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,6550145,,3659 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=365901
