Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
24,300501,4,BRICK 1X1,White,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,,6552096,300551 6548258,3005 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300501
25,300401,2,BRICK 1X2,White,3004,Brick 1 x 2,On Pick a Brick (late-2025 listing),0.1,late 2025,,6548257,4613964,3004 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300401
26,301001,18,BRICK 1X4,White,3010,Brick 1 x 4,On Pick a Brick (late-2025 listing),0.16,late 2025,yes,6550135,,3010 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=301001
27,300301,4,BRICK 2X2,White,3003,Brick 2 x 2,On Pick a Brick (late-2025 listing),0.13,late 2025,,6552095,4103592 6548256,3003 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300301
28,300201,2,BRICK 2X3,White,3002,Brick 2 x 3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.17,2022,,6550133,300251,3002 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300201
29,4567449,20,BRICK 2X2W.INSIDE AND OUTS.BOW,White,85080,Brick Round Corner 2 x 2 Macaroni,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.11,2022,yes,6619303,4543237 6078115,85080 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4567449
30,371001,4,PLATE 1X4,White,3710,Plate 1 x 4,On Pick a Brick (late-2025 listing),0.1,late 2025,,6552108,371051 6548266,3710 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=371001
31,366601,6,PLATE 1X6,White,3666,Plate 1 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,6552107,6548265,3666 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=366601
32,379501,2,PLATE 2X6,White,3795,Plate 2 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026 (including sets listed for 2027),0.19,2022,,6550146,,3795 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=379501
33,303601,1,PLATE 6X8,White,3036,Plate 6 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.67,2022,,303651,,3036 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=303601
34,403201,1,PLATE 2X2 ROUND,White,4032,Plate Round 2 x 2 with Axle Hole,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.08,2022,,6601914,,4032 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=403201
35,4515347,1,PLATE 4X4 ROUND W. SNAP,White,60474,Plate Round 4 x 4 with Hole,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.21,2022,,6564904,,60474 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4515347
36,6034044,2,PLATE W. BOW 1X2X2/3,White,11477,Slope Curved 2 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,6552145,6548276,11477 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6034044
37,306901,1,FLAT TILE 1X2,White,3069,Tile 1 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.07,2022,,6548264,,3069 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=306901
38,663601,4,FLAT TILE 1X6,White,6636,Tile 1 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,6548296,,6636 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=663601
39,6044691,1,"FLAT TILE 2X2, ROUND",White,14769,Tile Round 2 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.08,2022,,6601846,,14769 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6044691
