Part,Color,Quantity
3001,19,2
3023,19,2
3020,19,1
98138,19,2
3003,25,1
3022,25,1
54200,25,4
3004,84,30
98138,84,10
3062b,70,2
6141,70,3
98138,70,7
3062b,47,3
60581,47,8
3023,47,3
3070b,47,22
85080,15,4
4740,15,1
3022,15,1
3033,15,2
3958,15,1
6141,15,1
4032a,15,1
60474,15,2
3070b,15,11
3069b,15,13
6636,15,1
3068b,15,4
87079,15,2
98138,15,4
