ldraw_part,ldraw_color,lego_color,bricklink_part,bricklink_color_id,bricklink_color,rebrickable_part,design_id,element_id,alt_element_ids,last_set_year,sets_since_2024,pab_2025,pab_2022,pab_price_2025,pab_price_2022,pab_name,availability
3068b.dat,4,Bright Red,3068,5,Red,3068b,3068,306821,,2026,91,,yes,,0.08,FLAT TILE 2X2,"likely (current, listed 2022)"
3069b.dat,4,Bright Red,3069,5,Red,3069b,3069,306921,4178178,2026,167,,yes,,0.07,FLAT TILE 1X2,"likely (current, listed 2022)"
3069b.dat,71,Medium Stone Grey,3069,86,Light Bluish Gray,3069b,3069,4211414,,2026,212,,yes,,0.07,FLAT TILE 1X2,"likely (current, listed 2022)"
3069b.dat,72,Dark Stone Grey,3069,85,Dark Bluish Gray,3069b,3069,4211052,,2026,173,,yes,,0.07,FLAT TILE 1X2,"likely (current, listed 2022)"
3069b.dat,320,New Dark Red,3069,59,Dark Red,3069b,3069,4539090,4165783 4529548,2026,75,,yes,,0.07,FLAT TILE 1X2,"likely (current, listed 2022)"
3070b.dat,4,Bright Red,3070,5,Red,3070b,3070,307021,,2027,165,,yes,,0.06,FLAT TILE 1X1,"likely (current, listed 2022)"
3070b.dat,71,Medium Stone Grey,3070,86,Light Bluish Gray,3070b,3070,4211415,,2026,172,,yes,,0.06,FLAT TILE 1X1,"likely (current, listed 2022)"
32607.dat,2,Dark Green,32607,6,Green,32607,32607,6229130,,2026,138,,yes,,0.06,"PLANT, W/ PLATE 1X1, NO. 1","likely (current, listed 2022)"
3460.dat,15,White,3460,1,White,3460,3460,346001,6550141,2026,152,,yes,,0.18,PLATE 1X8,"likely (current, listed 2022)"
3659.dat,15,White,3659,1,White,3659,3659,365901,6550145,2026,37,,yes,,0.14,BRICK W. BOW 1X4,"likely (current, listed 2022)"
3700.dat,15,White,3700,1,White,3700,3700,370001,6619284,2026,64,,yes,,0.11,"TECHNIC BRICK 1X2, Ø4.9","likely (current, listed 2022)"
3795.dat,2,Dark Green,3795,6,Green,3795,3795,379528,,2026,60,,yes,,0.19,PLATE 2X6,"likely (current, listed 2022)"
3832.dat,2,Dark Green,3832,6,Green,3832,3832,383228,,2026,18,,yes,,0.25,PLATE 2X10,"likely (current, listed 2022)"
3941.dat,15,White,3941,1,White,3941,6143,6601920,394101 614301 614351,2026,78,,,,,,likely (in current sets)
3942c.dat,4,Bright Red,3942c,5,Red,3942c,14918,6056297,394221 394271 4200493 4519907 4528786 6022147,2026,6,,,,,,likely (in current sets)
3958.dat,15,White,3958,1,White,3958,3958,4144012,395801 6552116,2026,38,,yes,,0.5,PLATE 6X6,"likely (current, listed 2022)"
4162.dat,4,Bright Red,4162,5,Red,4162,4162,416221,,2026,44,,yes,,0.14,FLAT TILE 1X8,"likely (current, listed 2022)"
4162.dat,71,Medium Stone Grey,4162,86,Light Bluish Gray,4162,4162,4211481,,2026,99,,yes,,0.14,FLAT TILE 1X8,"likely (current, listed 2022)"
4286.dat,4,Bright Red,4286,5,Red,4286,4286,428621,,2026,10,,yes,,0.11,ROOF TILE 1X3/25°,"likely (current, listed 2022)"
4286.dat,15,White,4286,1,White,4286,4286,428601,,2026,29,,yes,,0.11,ROOF TILE 1X3/25°,"likely (current, listed 2022)"
4477.dat,15,White,4477,1,White,4477,4477,447701,6550148 6552113,2026,97,,yes,,0.18,PLATE 1X10,"likely (current, listed 2022)"
4589.dat,288,Earth Green,4589b,80,Dark Green,59900,59900,6411591,,2026,28,,,,,,likely (in current sets)
60479.dat,15,White,60479,1,White,60479,60479,4514842,6548269 6552130,2026,59,,yes,,0.25,PLATE 1X12,"likely (current, listed 2022)"
6141.dat,15,White,4073,1,White,6141,6141,614101,6601919,2026,203,,yes,,0.06,ROUND PLATE 1X1,"likely (current, listed 2022)"
63864.dat,4,Bright Red,63864,5,Red,63864,63864,4533742,,2026,97,,yes,,0.11,FLAT TILE 1x3,"likely (current, listed 2022)"
6636.dat,71,Medium Stone Grey,6636,86,Light Bluish Gray,6636,6636,4211549,,2026,134,,yes,,0.14,FLAT TILE 1X6,"likely (current, listed 2022)"
87079.dat,4,Bright Red,87079,5,Red,87079,87079,4560179,,2026,71,,yes,,0.21,FLAT TILE 2X4,"likely (current, listed 2022)"
87081.dat,15,White,87081,1,White,87081,87081,6619304,4558956,2026,25,,,,,,likely (in current sets)
87994.dat,288,Earth Green,87994,80,Dark Green,87994,17715,6525789,,2026,9,,,,,,likely (in current sets)
91405.dat,72,Dark Stone Grey,91405,85,Dark Bluish Gray,91405,91405,6004927,,2026,13,,yes,,3.04,PLATE 16X16,"likely (current, listed 2022)"
