ldraw_part,ldraw_color,lego_color,bricklink_part,bricklink_color_id,bricklink_color,rebrickable_part,design_id,element_id,alt_element_ids,last_set_year,sets_since_2024,pab_2025,pab_2022,pab_price_2025,pab_price_2022,pab_name,availability
3028.dat,71,Medium Stone Grey,3028,86,Light Bluish Gray,3028,3028,4211400,,2026,13,,yes,,1.34,PLATE 6X12,"likely (current, listed 2022)"
3031.dat,2,Dark Green,3031,6,Green,3031,3031,4243821,4113158,2026,32,,yes,,0.21,PLATE 4X4,"likely (current, listed 2022)"
3032.dat,70,Reddish Brown,3032,88,Reddish Brown,3032,3032,4271874,4211213,2026,72,,yes,,0.43,PLATE 4X6,"likely (current, listed 2022)"
3034.dat,2,Dark Green,3034,6,Green,3034,3034,303428,,2026,32,,yes,,0.25,PLATE 2X8,"likely (current, listed 2022)"
3034.dat,15,White,3034,1,White,3034,3034,303401,6552101,2026,120,,yes,,0.25,PLATE 2X8,"likely (current, listed 2022)"
3034.dat,70,Reddish Brown,3034,88,Reddish Brown,3034,3034,4211211,,2026,85,,yes,,0.25,PLATE 2X8,"likely (current, listed 2022)"
3034.dat,71,Medium Stone Grey,3034,86,Light Bluish Gray,3034,3034,4211406,,2026,150,,yes,,0.25,PLATE 2X8,"likely (current, listed 2022)"
3035.dat,2,Dark Green,3035,6,Green,3035,3035,4277361,,2026,24,,yes,,0.46,PLATE 4X8,"likely (current, listed 2022)"
3036.dat,2,Dark Green,3036,6,Green,3036,3036,4507311,303628 303678,2026,24,,yes,,0.67,PLATE 6X8,"likely (current, listed 2022)"
30374.dat,15,White,30374,1,White,30374,21462,6116602,4129836,2026,46,,yes,,0.06,LIGHT SWORD - BLADE,"likely (current, listed 2022)"
3062b.dat,2,Dark Green,3062,6,Green,3062b,3062,306228,,2026,20,,yes,,0.06,ROUND BRICK 1X1,"likely (current, listed 2022)"
3062b.dat,15,White,3062,1,White,3062b,3062,306201,6619283,2026,127,,yes,,0.06,ROUND BRICK 1X1,"likely (current, listed 2022)"
3062b.dat,70,Reddish Brown,3062,88,Reddish Brown,3062b,3062,4211183,,2026,112,,yes,,0.06,ROUND BRICK 1X1,"likely (current, listed 2022)"
3068b.dat,72,Dark Stone Grey,3068,85,Dark Bluish Gray,3068b,3068,4211055,,2026,117,,yes,,0.08,FLAT TILE 2X2,"likely (current, listed 2022)"
3069b.dat,4,Bright Red,3069,5,Red,3069b,3069,306921,4178178,2026,167,,yes,,0.07,FLAT TILE 1X2,"likely (current, listed 2022)"
3069b.dat,15,White,3069,1,White,3069b,3069,306901,6548264,2026,320,,yes,,0.07,FLAT TILE 1X2,"likely (current, listed 2022)"
3069b.dat,72,Dark Stone Grey,3069,85,Dark Bluish Gray,3069b,3069,4211052,,2026,173,,yes,,0.07,FLAT TILE 1X2,"likely (current, listed 2022)"
3070b.dat,15,White,3070,1,White,3070b,3070,307001,6550138,2026,243,,yes,,0.06,FLAT TILE 1X1,"likely (current, listed 2022)"
3070b.dat,72,Dark Stone Grey,3070,85,Dark Bluish Gray,3070b,3070,4210848,,2026,153,,yes,,0.06,FLAT TILE 1X1,"likely (current, listed 2022)"
32607.dat,2,Dark Green,32607,6,Green,32607,32607,6229130,,2026,138,,yes,,0.06,"PLANT, W/ PLATE 1X1, NO. 1","likely (current, listed 2022)"
32607.dat,10,Bright Green,32607,36,Bright Green,32607,32607,6182261,,2026,183,,yes,,0.06,"PLANT, W/ PLATE 1X1, NO. 1","likely (current, listed 2022)"
3298.dat,72,Dark Stone Grey,3298,85,Dark Bluish Gray,3298,3298,4211106,,2026,34,,yes,,0.14,ROOF TILE 2X3/25°,"likely (current, listed 2022)"
3460.dat,2,Dark Green,3460,6,Green,3460,3460,346028,,2026,37,,yes,,0.18,PLATE 1X8,"likely (current, listed 2022)"
3460.dat,15,White,3460,1,White,3460,3460,346001,6550141,2026,152,,yes,,0.18,PLATE 1X8,"likely (current, listed 2022)"
3460.dat,70,Reddish Brown,3460,88,Reddish Brown,3460,3460,4216945,,2026,102,,yes,,0.18,PLATE 1X8,"likely (current, listed 2022)"
3622.dat,15,White,3622,1,White,3622,3622,362201,6550143,2026,121,yes,yes,0.14,0.14,BRICK 1X3,listed on Pick a Brick (2025)
3622.dat,72,Dark Stone Grey,3622,85,Dark Bluish Gray,3622,3622,4211104,,2026,107,yes,yes,0.14,0.14,BRICK 1X3,listed on Pick a Brick (2025)
3623.dat,2,Dark Green,3623,6,Green,3623,3623,4107758,362328,2026,68,yes,yes,0.07,0.07,PLATE 1X3,listed on Pick a Brick (2025)
3623.dat,15,White,3623,1,White,3623,3623,362301,6550144 6552105,2026,238,yes,yes,0.07,0.07,PLATE 1X3,listed on Pick a Brick (2025)
3623.dat,72,Dark Stone Grey,3623,85,Dark Bluish Gray,3623,3623,4211133,,2026,174,yes,yes,0.07,0.07,PLATE 1X3,listed on Pick a Brick (2025)
3665b.dat,15,White,3665,1,White,3665,3665,366501,6552106,2026,60,,yes,,0.13,ROOF TILE 1X2 INV.,"likely (current, listed 2022)"
3666.dat,1,Bright Blue,3666,7,Blue,3666,3666,366623,,2026,57,,yes,,0.14,PLATE 1X6,"likely (current, listed 2022)"
3666.dat,2,Dark Green,3666,6,Green,3666,3666,366628,,2026,58,,yes,,0.14,PLATE 1X6,"likely (current, listed 2022)"
3666.dat,15,White,3666,1,White,3666,3666,366601,6548265 6552107,2026,245,,yes,,0.14,PLATE 1X6,"likely (current, listed 2022)"
3666.dat,70,Reddish Brown,3666,88,Reddish Brown,3666,3666,4221590,,2026,158,,yes,,0.14,PLATE 1X6,"likely (current, listed 2022)"
3666.dat,72,Dark Stone Grey,3666,85,Dark Bluish Gray,3666,3666,4211056,,2026,176,,yes,,0.14,PLATE 1X6,"likely (current, listed 2022)"
3710.dat,2,Dark Green,3710,6,Green,3710,3710,371028,,2026,96,yes,yes,0.1,0.11,PLATE 1X4,listed on Pick a Brick (2025)
3710.dat,70,Reddish Brown,3710,88,Reddish Brown,3710,3710,4211190,,2026,204,yes,yes,0.1,0.11,PLATE 1X4,listed on Pick a Brick (2025)
3710.dat,72,Dark Stone Grey,3710,85,Dark Bluish Gray,3710,3710,4211001,,2026,242,yes,yes,0.1,0.11,PLATE 1X4,listed on Pick a Brick (2025)
3795.dat,2,Dark Green,3795,6,Green,3795,3795,379528,,2026,60,,yes,,0.19,PLATE 2X6,"likely (current, listed 2022)"
3795.dat,15,White,3795,1,White,3795,3795,379501,6550146,2027,214,,yes,,0.19,PLATE 2X6,"likely (current, listed 2022)"
3795.dat,70,Reddish Brown,3795,88,Reddish Brown,3795,3795,4211247,,2026,138,,yes,,0.19,PLATE 2X6,"likely (current, listed 2022)"
