Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
26,302228,2,PLATE 2X2,Dark Green,3022,Plate 2 x 2,On Pick a Brick (late-2025 listing),0.09,late 2025,,,,3022 / Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=302228
27,302128,2,PLATE 2X3,Dark Green,3021,Plate 2 x 3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,,,3021 / Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=302128
28,302028,3,PLATE 2X4,Dark Green,3020,Plate 2 x 4,On Pick a Brick (late-2025 listing),0.14,late 2025,,,,3020 / Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=302028
29,379528,1,PLATE 2X6,Dark Green,3795,Plate 2 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.19,2022,,,,3795 / Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=379528
30,303428,1,PLATE 2X8,Dark Green,3034,Plate 2 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.25,2022,,,,3034 / Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=303428
31,4243821,1,PLATE 4X4,Dark Green,3031,Plate 4 x 4,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.21,2022,,,4113158,3031 / Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4243821
32,4277361,6,PLATE 4X8,Dark Green,3035,Plate 4 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.46,2022,,,,3035 / Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4277361
33,4507311,2,PLATE 6X8,Dark Green,3036,Plate 6 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.67,2022,,,303628 303678,3036 / Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4507311
34,4211098,21,BRICK 1X1,Dark Stone Grey,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,yes,,,3005 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211098
35,4211104,6,BRICK 1X3,Dark Stone Grey,3622,Brick 1 x 3,On Pick a Brick (late-2025 listing),0.14,late 2025,,,,3622 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211104
