Element ID,Quantity,Description,LEGO colour,Design ID,BrickLink part,BrickLink colour,Alternate element IDs,Last year in a set,Availability (from data),Pick a Brick unit price seen (USD)
4211008,10,Tile 1 x 8,Dark Stone Grey,4162,4162,Dark Bluish Gray,5210651,2026,"likely (current, listed 2022)",0.14
4211055,4,Tile 2 x 2,Dark Stone Grey,3068,3068,Dark Bluish Gray,,2026,"likely (current, listed 2022)",0.08
4521915,2,Brick 1 x 1,Earth Green,3005,3005,Dark Green,4271434 4496290 6618073,2026,listed on Pick a Brick (2025),0.07
4245570,18,Brick 1 x 2,Earth Green,3004,3004,Dark Green,6618072,2026,listed on Pick a Brick (2025),0.10
4245571,11,Brick 1 x 4,Earth Green,3010,3010,Dark Green,6618074,2026,listed on Pick a Brick (2025),0.16
4514846,1,Plate 1 x 12,Medium Stone Grey,60479,60479,Light Bluish Gray,,2026,likely (in current sets),
4211396,10,Plate 2 x 3,Medium Stone Grey,3021,3021,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.14
4211406,10,Plate 2 x 8,Medium Stone Grey,3034,3034,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.25
4211400,4,Plate 6 x 12,Medium Stone Grey,3028,3028,Light Bluish Gray,,2026,"likely (current, listed 2022)",1.34
4211242,3,Brick 1 x 1,Reddish Brown,3005,3005,Reddish Brown,,2026,listed on Pick a Brick (2025),0.07
4211225,3,Brick 1 x 4,Reddish Brown,3010,3010,Reddish Brown,,2026,listed on Pick a Brick (2025),0.16
4211183,8,Brick Round 1 x 1,Reddish Brown,3062,3062,Reddish Brown,,2026,"likely (current, listed 2022)",0.06
4211150,3,Plate 1 x 2,Reddish Brown,3023,3023,Reddish Brown,,2026,listed on Pick a Brick (2025),0.07
4211190,2,Plate 1 x 4,Reddish Brown,3710,3710,Reddish Brown,,2026,listed on Pick a Brick (2025),0.10
4221590,2,Plate 1 x 6,Reddish Brown,3666,3666,Reddish Brown,,2026,"likely (current, listed 2022)",0.14
4216945,3,Plate 1 x 8,Reddish Brown,3460,3460,Reddish Brown,,2026,"likely (current, listed 2022)",0.18
4216695,1,Plate 2 x 2,Reddish Brown,3022,3022,Reddish Brown,4613975,2026,listed on Pick a Brick (2025),0.09
4211247,2,Plate 2 x 6,Reddish Brown,3795,3795,Reddish Brown,,2026,"likely (current, listed 2022)",0.19
4211211,1,Plate 2 x 8,Reddish Brown,3034,3034,Reddish Brown,,2026,"likely (current, listed 2022)",0.25
4271874,4,Plate 4 x 6,Reddish Brown,3032,3032,Reddish Brown,4211213,2026,"likely (current, listed 2022)",0.43
4523159,9,Plate Round 1 x 1,Warm Gold,6141,4073,Pearl Gold,,2026,likely (in current sets),
6116602,2,Bar 4L (Light Sword Blade),White,21462,30374,White,4129836,2026,"likely (current, listed 2022)",0.06
300501,124,Brick 1 x 1,White,3005,3005,White,300551 6548258 6552096,2026,listed on Pick a Brick (2025),0.07
4558952,11,Brick 1 x 1 with Stud on 1 Side,White,87087,87087,White,6550190,2026,"likely (current, listed 2022)",0.13
300401,32,Brick 1 x 2,White,3004,3004,White,4613964 6548257,2026,listed on Pick a Brick (2025),0.10
362201,24,Brick 1 x 3,White,3622,3622,White,6550143,2026,listed on Pick a Brick (2025),0.14
301001,30,Brick 1 x 4,White,3010,3010,White,6550135,2026,listed on Pick a Brick (2025),0.16
300901,26,Brick 1 x 6,White,3009,3009,White,300951 6548259 6552097,2026,"likely (current, listed 2022)",0.25
300801,58,Brick 1 x 8,White,3008,3008,White,6550134,2026,"likely (current, listed 2022)",0.29
306201,2,Brick Round 1 x 1,White,3062,3062,White,6619283,2026,"likely (current, listed 2022)",0.06
4518400,2,Cone 1 x 1,White,59900,4589b,White,458901 6601844,2026,"likely (current, listed 2022)",0.07
6047813,4,Fence Spindled 1 x 4 x 2,White,15332,15332,White,6615529,2026,"likely (current, listed 2022)",0.36
302401,8,Plate 1 x 1,White,3024,3024,White,6548262,2026,listed on Pick a Brick (2025),0.05
362301,12,Plate 1 x 3,White,3623,3623,White,6550144 6552105,2026,listed on Pick a Brick (2025),0.07
366601,5,Plate 1 x 6,White,3666,3666,White,6548265 6552107,2026,"likely (current, listed 2022)",0.14
346001,3,Plate 1 x 8,White,3460,3460,White,6550141,2026,"likely (current, listed 2022)",0.18
302101,37,Plate 2 x 3,White,3021,3021,White,6550136,2026,"likely (current, listed 2022)",0.14
302001,12,Plate 2 x 4,White,3020,3020,White,6552098,2026,listed on Pick a Brick (2025),0.14
379501,11,Plate 2 x 6,White,3795,3795,White,6550146,2027,"likely (current, listed 2022)",0.19
303401,14,Plate 2 x 8,White,3034,3034,White,6552101,2026,"likely (current, listed 2022)",0.25
614101,30,Plate Round 1 x 1,White,6141,4073,White,6601919,2026,"likely (current, listed 2022)",0.06
366501,6,Slope 45 2 x 1 Inverted,White,3665,3665,White,6552106,2026,"likely (current, listed 2022)",0.13
6172927,2,Slope Curved 2 x 1 Inverted,White,24201,24201,White,,2026,likely (in current sets),
4249112,6,Slope Curved 3 x 1,White,50950,50950,White,6548268,2026,"likely (current, listed 2022)",0.13
307001,3,Tile 1 x 1,White,3070,3070,White,6550138,2026,"likely (current, listed 2022)",0.06
306901,2,Tile 1 x 2,White,3069,3069,White,6548264,2026,"likely (current, listed 2022)",0.07
243101,2,Tile 1 x 4,White,2431,2431,White,6548255,2026,"likely (current, listed 2022)",0.13
663601,3,Tile 1 x 6,White,6636,6636,White,6548296,2026,"likely (current, listed 2022)",0.14
