Section,Element ID,Quantity,Description,LEGO colour
Domed corner pavilion (build 2),4211400,2,Plate 6 x 12,Medium Stone Grey
Domed corner pavilion (build 2),4211413,2,Tile 2 x 2,Medium Stone Grey
Domed corner pavilion (build 2),4560183,8,Tile 2 x 4,Medium Stone Grey
Domed corner pavilion (build 2),300501,120,Brick 1 x 1,White
Domed corner pavilion (build 2),300401,20,Brick 1 x 2,White
Domed corner pavilion (build 2),300901,60,Brick 1 x 6,White
Domed corner pavilion (build 2),306201,2,Brick Round 1 x 1,White
Domed corner pavilion (build 2),447701,12,Plate 1 x 10,White
Domed corner pavilion (build 2),4514842,16,Plate 1 x 12,White
Domed corner pavilion (build 2),371001,16,Plate 1 x 4,White
Domed corner pavilion (build 2),366601,12,Plate 1 x 6,White
Domed corner pavilion (build 2),4144012,12,Plate 6 x 6,White
Guest wing (build 2),300526,208,Brick 1 x 1,Black
Guest wing (build 2),4504379,10,Slope 30 1 x 1 x 2/3,Bright Red
Guest wing (build 2),4211399,2,Plate 1 x 1,Medium Stone Grey
Guest wing (build 2),4211425,2,Plate 1 x 8,Medium Stone Grey
Guest wing (build 2),4211396,10,Plate 2 x 3,Medium Stone Grey
Guest wing (build 2),4211452,10,Plate 2 x 6,Medium Stone Grey
Guest wing (build 2),4211415,18,Tile 1 x 1,Medium Stone Grey
Guest wing (build 2),4211414,18,Tile 1 x 2,Medium Stone Grey
Guest wing (build 2),4211481,18,Tile 1 x 8,Medium Stone Grey
Guest wing (build 2),300501,192,Brick 1 x 1,White
Guest wing (build 2),362201,16,Brick 1 x 3,White
Guest wing (build 2),300801,16,Brick 1 x 8,White
Guest wing (build 2),302401,66,Plate 1 x 1,White
Guest wing (build 2),447701,12,Plate 1 x 10,White
Guest wing (build 2),362301,16,Plate 1 x 3,White
Guest wing (build 2),371001,4,Plate 1 x 4,White
Guest wing (build 2),366601,20,Plate 1 x 6,White
Guest wing (build 2),346001,22,Plate 1 x 8,White
Guest wing (build 2),302101,26,Plate 2 x 3,White
Guest wing (build 2),379501,10,Plate 2 x 6,White
Guest wing (build 2),303401,16,Plate 2 x 8,White
Palm tree,6229130,24,Plant Plate Round 1 x 1 with 3 Leaves,Dark Green
Palm tree,4211183,60,Brick Round 1 x 1,Reddish Brown
