Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
26,4529240,2,NOSE CONE SMALL 1X1,Dark Stone Grey,59900,Cone 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.07,2022,,,4210647 4518486,4589 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4529240
27,4211010,2,PARABOLA Ø16,Dark Stone Grey,4740,Dish 2 x 2 Inverted,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.07,2022,,,,4740 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211010
28,4257526,1,PLATE 1X10,Dark Stone Grey,4477,Plate 1 x 10,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.18,2022,,,4210816,4477 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4257526
29,4211001,1,PLATE 1X4,Dark Stone Grey,3710,Plate 1 x 4,On Pick a Brick (late-2025 listing),0.1,late 2025,,,,3710 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211001
30,4210998,1,PLATE 1X8,Dark Stone Grey,3460,Plate 1 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.18,2022,,,,3460 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4210998
31,6004927,6,PLATE 16X16,Dark Stone Grey,91405,Plate 16 x 16,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,3.04,2022,,,,91405 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6004927
32,4210678,1,PLATE 2X10,Dark Stone Grey,3832,Plate 2 x 10,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.25,2022,,,,3832 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4210678
33,4211067,1,PLATE 2X12,Dark Stone Grey,2445,Plate 2 x 12,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.35,2022,,,,2445 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211067
34,4243831,2,PLATE 4X4,Dark Stone Grey,3031,Plate 4 x 4,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.21,2022,,,4211089,3031 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4243831
35,4211115,2,PLATE 4X6,Dark Stone Grey,3032,Plate 4 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.43,2022,,,3032199,3032 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211115
36,4211061,1,PLATE 4X8,Dark Stone Grey,3035,Plate 4 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.46,2022,,,,3035 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211061
37,4211114,1,PLATE 6X10,Dark Stone Grey,3033,Plate 6 x 10,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.86,2022,,,,3033 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211114
38,4211135,22,ROOF TILE 1X2/45°,Dark Stone Grey,3040,Slope 45 2 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.11,2022,yes,,,3040 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211135
39,4221745,64,ROOF TILE 1X2X3/73°,Dark Stone Grey,4460,Slope 75 2 x 1 x 3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.18,2022,yes,,,4460a / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4221745
40,6029948,8,PLATE W. BOW 1X2X2/3,Dark Stone Grey,11477,Slope Curved 2 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,11477 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6029948
41,4210848,4,FLAT TILE 1X1,Dark Stone Grey,3070,Tile 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,3070 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4210848
42,4211053,3,FLAT TILE 1X4,Dark Stone Grey,2431,Tile 1 x 4,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.13,2022,,,,2431 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211053
43,4210651,4,FLAT TILE 1X6,Dark Stone Grey,6636,Tile 1 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,,,6636 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4210651
44,4211008,11,FLAT TILE 1X8,Dark Stone Grey,4162,Tile 1 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,yes,5210651,,4162 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211008
45,4211055,8,FLAT TILE 2X2,Dark Stone Grey,3068,Tile 2 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.08,2022,,,,3068 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211055
46,6055169,2,PLATE 1X1,Earth Green,3024,Plate 1 x 1,On Pick a Brick (late-2025 listing),0.05,late 2025,,6618077,4245579 4271440 6013796,3024 / Dark Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6055169
47,6013102,1,PLATE 1X2,Earth Green,3023,Plate 1 x 2,On Pick a Brick (late-2025 listing),0.07,late 2025,,6618076,4264404 6013797,3023 / Dark Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6013102
48,6013975,2,PLATE 1X3,Earth Green,3623,Plate 1 x 3,On Pick a Brick (late-2025 listing),0.07,late 2025,,6618081,4245567 6013798,3623 / Dark Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6013975
