Element ID,Quantity,Description,LEGO colour,Design ID,BrickLink part,BrickLink colour,Alternate element IDs,Last year in a set,Availability (from data),Pick a Brick unit price seen (USD)
4211399,2,Plate 1 x 1,Medium Stone Grey,3024,3024,Light Bluish Gray,,2026,listed on Pick a Brick (2025),0.05
4211425,2,Plate 1 x 8,Medium Stone Grey,3460,3460,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.18
4211396,16,Plate 2 x 3,Medium Stone Grey,3021,3021,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.14
4211452,10,Plate 2 x 6,Medium Stone Grey,3795,3795,Light Bluish Gray,3795194,2026,"likely (current, listed 2022)",0.19
4211406,6,Plate 2 x 8,Medium Stone Grey,3034,3034,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.25
4211400,2,Plate 6 x 12,Medium Stone Grey,3028,3028,Light Bluish Gray,,2026,"likely (current, listed 2022)",1.34
4558169,18,Tile 1 x 3,Medium Stone Grey,63864,63864,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.11
4211356,48,Tile 1 x 4,Medium Stone Grey,2431,2431,Light Bluish Gray,2431194,2026,"likely (current, listed 2022)",0.13
4211549,12,Tile 1 x 6,Medium Stone Grey,6636,6636,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.14
4211481,18,Tile 1 x 8,Medium Stone Grey,4162,4162,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.14
4211183,60,Brick Round 1 x 1,Reddish Brown,3062,3062,Reddish Brown,,2026,"likely (current, listed 2022)",0.06
365901,2,Arch 1 x 4,White,3659,3659,White,6550145,2026,"likely (current, listed 2022)",0.14
4620761,3,Arch 1 x 6 Raised,White,92950,92950,White,6601942,2026,"likely (current, listed 2022)",0.21
300501,384,Brick 1 x 1,White,3005,3005,White,300551 6548258 6552096,2026,listed on Pick a Brick (2025),0.07
300401,25,Brick 1 x 2,White,3004,3004,White,4613964 6548257,2026,listed on Pick a Brick (2025),0.10
362201,16,Brick 1 x 3,White,3622,3622,White,6550143,2026,listed on Pick a Brick (2025),0.14
301001,10,Brick 1 x 4,White,3010,3010,White,6550135,2026,listed on Pick a Brick (2025),0.16
300901,60,Brick 1 x 6,White,3009,3009,White,300951 6548259 6552097,2026,"likely (current, listed 2022)",0.25
300801,40,Brick 1 x 8,White,3008,3008,White,6550134,2026,"likely (current, listed 2022)",0.29
