Part,Color,Quantity
3003,19,1
3001,19,4
3024,19,5
3034,19,2
92438,19,1
41539,19,1
3070b,19,10
3069b,19,14
2431,19,4
6636,19,6
3005,25,1
3004,25,2
3003,25,1
32607,25,4
3024,25,2
3023,25,2
3021,25,2
6141,25,2
54200,25,4
25269,25,4
32607,2,2
3957b,70,1
30137,70,3
6141,70,1
98138,70,6
3003,28,4
3001,28,16
3065,47,4
3062b,47,20
59349,47,4
3023,47,19
3070b,47,34
4032a,15,1
60474,15,1
14769,15,1
