ldraw_part,ldraw_color,lego_color,bricklink_part,bricklink_color_id,bricklink_color,rebrickable_part,design_id,element_id,alt_element_ids,last_set_year,sets_since_2024,pab_2025,pab_2022,pab_price_2025,pab_price_2022,pab_name,availability
3036.dat,2,Dark Green,3036,6,Green,3036,3036,4507311,303628 303678,2026,24,,yes,,0.67,PLATE 6X8,"likely (current, listed 2022)"
3036.dat,71,Medium Stone Grey,3036,86,Light Bluish Gray,3036,3036,4211408,,2026,52,,yes,,0.67,PLATE 6X8,"likely (current, listed 2022)"
3039.dat,0,Black,3039,11,Black,3039,3039,303926,,2026,91,,yes,,0.14,ROOF TILE 2X2/45°,"likely (current, listed 2022)"
3040b.dat,15,White,3040,1,White,3040b,3040,4121932,304001 6552115,2026,71,,yes,,0.11,ROOF TILE 1X2/45°,"likely (current, listed 2022)"
3062b.dat,0,Black,3062,11,Black,3062b,3062,306226,,2026,106,,yes,,0.06,ROUND BRICK 1X1,"likely (current, listed 2022)"
3062b.dat,46,Transparent Yellow,3062,19,Trans-Yellow,3062b,35390,6514236,3006844 306244 6238674,2026,100,,,,,,likely (in current sets)
3062b.dat,70,Reddish Brown,3062,88,Reddish Brown,3062b,3062,4211183,,2026,112,,yes,,0.06,ROUND BRICK 1X1,"likely (current, listed 2022)"
3068b.dat,0,Black,3068,11,Black,3068b,3068,306826,,2026,185,,yes,,0.08,FLAT TILE 2X2,"likely (current, listed 2022)"
3068b.dat,71,Medium Stone Grey,3068,86,Light Bluish Gray,3068b,3068,4211413,,2026,139,,yes,,0.08,FLAT TILE 2X2,"likely (current, listed 2022)"
3069b.dat,0,Black,3069,11,Black,3069b,3069,306926,,2026,302,,yes,,0.07,FLAT TILE 1X2,"likely (current, listed 2022)"
3069b.dat,71,Medium Stone Grey,3069,86,Light Bluish Gray,3069b,3069,4211414,,2026,212,,yes,,0.07,FLAT TILE 1X2,"likely (current, listed 2022)"
3070b.dat,4,Bright Red,3070,5,Red,3070b,3070,307021,,2027,165,,yes,,0.06,FLAT TILE 1X1,"likely (current, listed 2022)"
3070b.dat,71,Medium Stone Grey,3070,86,Light Bluish Gray,3070b,3070,4211415,,2026,172,,yes,,0.06,FLAT TILE 1X1,"likely (current, listed 2022)"
32607.dat,2,Dark Green,32607,6,Green,32607,32607,6229130,,2026,138,,yes,,0.06,"PLANT, W/ PLATE 1X1, NO. 1","likely (current, listed 2022)"
3298.dat,0,Black,3298,11,Black,3298,3298,329826,,2026,54,,yes,,0.14,ROOF TILE 2X3/25°,"likely (current, listed 2022)"
3460.dat,2,Dark Green,3460,6,Green,3460,3460,346028,,2026,37,,yes,,0.18,PLATE 1X8,"likely (current, listed 2022)"
3460.dat,15,White,3460,1,White,3460,3460,346001,6550141,2026,152,,yes,,0.18,PLATE 1X8,"likely (current, listed 2022)"
3460.dat,70,Reddish Brown,3460,88,Reddish Brown,3460,3460,4216945,,2026,102,,yes,,0.18,PLATE 1X8,"likely (current, listed 2022)"
