ldraw_part,ldraw_color,lego_color,bricklink_part,bricklink_color_id,bricklink_color,rebrickable_part,design_id,element_id,alt_element_ids,last_set_year,sets_since_2024,pab_2025,pab_2022,pab_price_2025,pab_price_2022,pab_name,availability
3036.dat,2,Dark Green,3036,6,Green,3036,3036,4507311,303628 303678,2026,24,,yes,,0.67,PLATE 6X8,"likely (current, listed 2022)"
30374.dat,0,Black,30374,11,Black,30374,21462,6116604,3037426 4140303,2026,125,,yes,,0.06,LIGHT SWORD - BLADE,"likely (current, listed 2022)"
3040b.dat,72,Dark Stone Grey,3040,85,Dark Bluish Gray,3040b,3040,4211135,,2026,97,,yes,,0.11,ROOF TILE 1X2/45°,"likely (current, listed 2022)"
3062b.dat,15,White,3062,1,White,3062b,3062,306201,6619283,2026,127,,yes,,0.06,ROUND BRICK 1X1,"likely (current, listed 2022)"
3062b.dat,70,Reddish Brown,3062,88,Reddish Brown,3062b,3062,4211183,,2026,112,,yes,,0.06,ROUND BRICK 1X1,"likely (current, listed 2022)"
3062b.dat,71,Medium Stone Grey,3062,86,Light Bluish Gray,3062b,3062,4211412,,2026,83,,yes,,0.06,ROUND BRICK 1X1,"likely (current, listed 2022)"
3068b.dat,19,Brick Yellow,3068,2,Tan,3068b,3068,4185177,306805 4114002,2026,114,,yes,,0.08,FLAT TILE 2X2,"likely (current, listed 2022)"
3068b.dat,72,Dark Stone Grey,3068,85,Dark Bluish Gray,3068b,3068,4211055,,2026,117,,yes,,0.08,FLAT TILE 2X2,"likely (current, listed 2022)"
3069b.dat,19,Brick Yellow,3069,2,Tan,3069b,3069,4114026,,2027,181,,yes,,0.07,FLAT TILE 1X2,"likely (current, listed 2022)"
3070b.dat,19,Brick Yellow,3070,2,Tan,3070b,3070,4125253,,2026,98,,yes,,0.06,FLAT TILE 1X1,"likely (current, listed 2022)"
3070b.dat,72,Dark Stone Grey,3070,85,Dark Bluish Gray,3070b,3070,4210848,,2026,153,,yes,,0.06,FLAT TILE 1X1,"likely (current, listed 2022)"
32607.dat,2,Dark Green,32607,6,Green,32607,32607,6229130,,2026,138,,yes,,0.06,"PLANT, W/ PLATE 1X1, NO. 1","likely (current, listed 2022)"
3460.dat,2,Dark Green,3460,6,Green,3460,3460,346028,,2026,37,,yes,,0.18,PLATE 1X8,"likely (current, listed 2022)"
3460.dat,15,White,3460,1,White,3460,3460,346001,6550141,2026,152,,yes,,0.18,PLATE 1X8,"likely (current, listed 2022)"
3460.dat,71,Medium Stone Grey,3460,86,Light Bluish Gray,3460,3460,4211425,,2026,154,,yes,,0.18,PLATE 1X8,"likely (current, listed 2022)"
3460.dat,72,Dark Stone Grey,3460,85,Dark Bluish Gray,3460,3460,4210998,,2026,135,,yes,,0.18,PLATE 1X8,"likely (current, listed 2022)"
3622.dat,15,White,3622,1,White,3622,3622,362201,6550143,2026,121,yes,yes,0.14,0.14,BRICK 1X3,listed on Pick a Brick (2025)
3623.dat,15,White,3623,1,White,3623,3623,362301,6550144 6552105,2026,238,yes,yes,0.07,0.07,PLATE 1X3,listed on Pick a Brick (2025)
3623.dat,288,Earth Green,3623,80,Dark Green,3623,3623,6013975,4245567 6013798 6618081,2026,28,yes,yes,0.07,0.07,PLATE 1X3,listed on Pick a Brick (2025)
3659.dat,15,White,3659,1,White,3659,3659,365901,6550145,2026,37,,yes,,0.14,BRICK W. BOW 1X4,"likely (current, listed 2022)"
